PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,LA,,,,,,,,,
Location:,"LOS ANGELES, CA",,,,,,,,,
Lat (deg N):,33.93,,,,,,,,,
Long (deg W):,118.4,,,,,,,,,
Elev (m):,32,,,,,,,,,
DC System Size (kW):,1,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (open rack),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.1,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.13,,,,,,,,,
Capacity Factor (%),"18.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,8,22,0,0,11.7,2.6,0,11.7,0.00,0
1,8,23,0,0,11.1,1.5,0,11.1,0.00,0
1,9,0,0,0,10,2.6,0,10,0.00,0
1,9,1,0,0,10,2.1,0,10,0.00,0
1,9,2,0,0,9.4,1.5,0,9.4,0.00,0
1,9,3,0,0,9.4,0,0,9.4,0.00,0
1,9,4,0,0,8.9,2.1,0,8.9,0.00,0
1,9,5,0,0,8.3,2.1,0,8.3,0.00,0
1,9,6,0,0,8.9,3.1,0,8.9,0.00,0
1,9,7,166,26,9.4,1.5,83.105,10.034,67.60,60.743
1,9,8,464,71,11.7,3.1,305.967,17.572,258.90,247.539
1,9,9,656,84,13.3,2.6,520.85,25.489,438.64,421.908
1,9,10,658,108,15,3.1,629.771,29.555,526.31,506.559
1,9,11,778,103,17.2,2.1,758.668,37.146,612.75,589.767
1,9,12,659,132,15.6,4.6,700.537,29.884,586.49,564.515
1,9,13,730,109,15.6,4.6,685.897,29.484,573.40,551.921
1,9,14,714,78,15.6,4.1,549.951,27.463,458.74,441.337
1,9,15,555,57,15,3.6,334.253,22.311,275.65,263.83
1,9,16,158,30,13.9,4.1,86.532,14.964,69.68,62.782
1,9,17,0,0,13.9,5.2,0,13.9,0.00,0
1,9,18,0,0,13.3,3.1,0,13.3,0.00,0
1,9,19,0,0,13.3,2.6,0,13.3,0.00,0
1,9,20,0,0,12.8,2.1,0,12.8,0.00,0
1,9,21,0,0,12.8,2.1,0,12.8,0.00,0
1,9,22,0,0,12.8,3.6,0,12.8,0.00,0
1,9,23,0,0,12.2,4.1,0,12.2,0.00,0
1,10,0,0,0,12.8,1.5,0,12.8,0.00,0
1,10,1,0,0,11.7,3.1,0,11.7,0.00,0
1,10,2,0,0,9.4,3.1,0,9.4,0.00,0
1,10,3,0,0,11.7,1.5,0,11.7,0.00,0
1,10,4,0,0,9.4,0,0,9.4,0.00,0
1,10,5,0,0,9.4,2.1,0,9.4,0.00,0
1,10,6,0,0,8.9,1.5,0,8.9,0.00,0
1,10,7,35,30,12.8,2.6,44.595,12.342,38.77,32.486
1,10,8,303,91,15.6,2.1,252.438,20.664,212.88,202.711
1,10,9,574,120,18.3,3.1,509.623,29.382,422.17,405.972
1,10,10,621,154,20.6,2.6,653.499,36.423,528.48,508.654
1,10,11,466,197,20.6,4.1,613.848,33.693,504.86,485.872
1,10,12,665,190,18.3,4.6,766.989,33.676,630.63,606.943
1,10,13,209,217,18.3,4.1,396.031,27.019,336.20,322.665
1,10,14,264,155,16.7,4.6,345.308,23.119,296.33,283.941
1,10,15,122,143,16.7,4.1,221.949,20.789,191.27,181.639
1,10,16,23,32,14.4,4.6,40.305,14.204,35.22,28.998
1,10,17,0,0,13.3,3.1,0,13.3,0.00,0
1,10,18,0,0,13.3,2.1,0,13.3,0.00,0
1,10,19,0,0,12.8,0,0,12.8,0.00,0
1,10,20,0,0,13.3,2.1,0,13.3,0.00,0
1,10,21,0,0,13.3,0,0,13.3,0.00,0
1,10,22,0,0,13.3,3.1,0,13.3,0.00,0
1,10,23,0,0,13.3,3.1,0,13.3,0.00,0
1,11,0,0,0,12.8,2.1,0,12.8,0.00,0
1,11,1,0,0,11.7,2.1,0,11.7,0.00,0
1,11,2,0,0,12.2,0,0,12.2,0.00,0
1,11,3,0,0,11.1,0,0,11.1,0.00,0
1,11,4,0,0,10,0,0,10,0.00,0
1,11,5,0,0,10,1.5,0,10,0.00,0
1,11,6,0,0,10,0,0,10,0.00,0
1,11,7,1,18,10.6,0,17.317,7.767,16.04,10.186
1,11,8,80,112,11.1,2.6,157.349,13.317,140.39,131.964
1,11,9,317,174,11.7,1.5,399.407,21.984,344.32,330.539
1,11,10,393,128,15,2.1,450.788,26.456,382.81,367.865
1,11,11,676,128,15.6,4.6,710.795,29.543,596.07,573.731
1,11,12,483,217,15,5.2,651.137,27.255,552.51,531.802
1,11,13,866,66,15.6,5.7,731.883,28.557,614.24,591.2
1,11,14,807,56,15.6,5.2,581.932,26.576,487.09,468.721
1,11,15,680,42,15,5.2,375.772,21.807,309.41,296.651
1,11,16,340,23,13.9,5.2,128.169,15.624,97.45,89.965
1,11,17,0,0,13.3,2.6,0,13.3,0.00,0
1,11,18,0,0,13.3,2.1,0,13.3,0.00,0
1,11,19,0,0,13.9,3.1,0,13.9,0.00,0
1,11,20,0,0,13.3,2.1,0,13.3,0.00,0
1,11,21,0,0,12.8,2.1,0,12.8,0.00,0
